Node ID,Node Path,Query,Refinement Link
13838311,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Bobbins",item_type_keyword:bobbins,See Available Refinements
8147483011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Dress Forms & Mannequins",,See Available Refinements
12899101,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Dress Forms & Mannequins/Dress Forms",item_type_keyword:dress-forms,See Available Refinements
8147487011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Dress Forms & Mannequins/Mannequins",item_type_keyword:sewing-mannequins,See Available Refinements
262692011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Elastic",item_type_keyword:craft-elastic,See Available Refinements
262683011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Fasteners",item_type_keyword:sewing-fasteners,See Available Refinements
2933766011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Fasteners/Buckles",item_type_keyword:buckles,See Available Refinements
2933768011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Fasteners/Buttons",item_type_keyword:buttons,See Available Refinements
8090973011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Fasteners/Clasps",item_type_keyword:sewing-clasps,See Available Refinements
17545028011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Fasteners/Cord Locks",item_type_keyword:sewing-fasteners-cord-locks,See Available Refinements
8090721011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Fasteners/Eyelets & Grommets",,See Available Refinements
8090975011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Fasteners/Eyelets & Grommets/Eyelets",item_type_keyword:sewing-eyelets,See Available Refinements
8090977011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Fasteners/Eyelets & Grommets/Grommets",item_type_keyword:sewing-grommets,See Available Refinements
262685011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Fasteners/Interlocking Tape",item_type_keyword:craft-interlocking-tape,See Available Refinements
2933769011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Fasteners/Snaps",item_type_keyword:snaps,See Available Refinements
262686011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Fasteners/Undergarment Sewing",item_type_keyword:undergarment-sewing-accessories,See Available Refinements
2933767011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Fasteners/Zippers",item_type_keyword:zippers,See Available Refinements
262635011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Hand Sewing Needles",item_type_keyword:hand-sewing-needles,See Available Refinements
8090979011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Hand Sewing Needles/Beading",item_type_keyword:beading-needles,See Available Refinements
8090981011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Hand Sewing Needles/Embroidery & Crewel",item_type_keyword:embroidery-and-crewel-needles,See Available Refinements
262634011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Hand Sewing Needles/Quilting",item_type_keyword:hand-quilting-needles,See Available Refinements
8090983011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Hand Sewing Needles/Sharps",item_type_keyword:sewing-sharp-needles,See Available Refinements
8090928011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Hand Sewing Needles/Yarn & Tapestry",item_type_keyword:yarn-needles,See Available Refinements
8090989011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Heat Transfer Film",item_type_keyword:sewing-heat-transfer-film,See Available Refinements
8090987011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Heat Transfer Paper",item_type_keyword:sewing-heat-transfer-paper,See Available Refinements
262694011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Interfacing",item_type_keyword:fabric-interfacing,See Available Refinements
262631011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Machine Needles",,See Available Refinements
262633011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Machine Needles/Embroidery Machine Needles",item_type_keyword:embroidery-machine-needles,See Available Refinements
262636011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Machine Needles/Quilting Machine Needles",item_type_keyword:quilting-machine-needles,See Available Refinements
689365011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Machine Needles/Serger Needles",item_type_keyword:serger-needles,See Available Refinements
262638011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Machine Needles/Sewing Machine Needles",item_type_keyword:sewing-machine-needles,See Available Refinements
262696011,"Arts, Crafts & Sewing/Sewing/Sewing Notions & Supplies/Pillow Forms & Foam",,See Available Refinements
